42.002	0
42.007	0
42.012	0
42.017	0
42.022	0
42.027	0
42.032	0
42.037	0
42.042	0
42.047	0
42.052	0
42.057	0
42.062	0
42.067	0
42.072	0
42.077	0
42.082	0
42.087	0
42.092	0
42.097	0
42.102	0
42.107	0
42.112	0
42.117	0
42.122	0
42.127	0
42.132	0
42.137	0
42.142	2727
42.147	0
42.152	0
42.157	0
42.162	0
42.167	0
42.172	0
42.177	0
42.182	0
42.187	0
42.192	0
42.197	0
42.202	2727
42.207	2421
42.212	0
42.217	0
42.222	0
42.227	0
42.232	0
42.237	0
42.242	0
42.247	0
42.252	7286
42.257	0
42.262	0
42.267	0
42.272	0
42.277	0
42.282	0
42.287	2421
42.292	6370
42.297	0
42.302	0
42.307	2727
42.312	2727
42.317	0
42.322	0
42.327	0
42.332	2421
42.337	0
42.342	2421
42.347	3338
42.352	0
42.357	0
42.362	0
42.367	0
42.372	0
42.377	0
42.382	0
42.387	0
42.392	0
42.397	2421
42.402	0
42.407	0
42.412	2727
42.417	18202
42.422	2727
42.427	11062
42.432	2421
42.437	0
42.442	29882
42.447	38756
42.452	9957
42.457	17011
42.462	22543
42.467	15000
42.472	9960
42.477	12108
42.482	8037
42.487	10416
42.492	45172
42.497	20753
42.502	11697
42.507	10047
42.512	24764
42.517	30502
42.522	19482
42.527	51744
42.532	14917
42.537	23902
42.542	22048
42.547	10155
42.552	5148
42.557	34856
42.562	16574
42.567	41276
42.572	18778
42.577	5489
42.582	2727
42.587	5695
42.592	11550
42.597	6104
42.602	13679
42.607	2421
42.612	10988
42.617	13374
42.622	2727
42.627	0
42.632	4758
42.637	0
42.642	2421
42.647	2421
42.652	7484
42.657	0
42.662	0
42.667	9954
42.672	0
42.677	0
42.682	8377
42.687	0
42.692	5759
42.697	8938
42.702	0
42.707	5453
42.712	5410
42.717	0
42.722	0
42.727	0
42.732	4842
42.737	0
42.743	0
42.748	6092
42.752	5058
42.757	3338
42.763	2727
42.768	0
42.773	0
42.778	0
42.783	0
42.788	0
42.793	2421
42.798	5946
42.803	2421
42.808	2727
42.813	5959
42.818	6370
42.823	7685
42.828	0
42.833	2727
42.838	3032
42.843	5638
42.848	3032
42.853	5058
42.858	5759
42.863	2727
42.868	5759
42.873	0
42.878	0
42.883	2727
42.888	0
42.893	0
42.898	0
42.903	5000
42.908	0
42.913	0
42.918	0
42.923	2727
42.928	0
42.933	0
42.938	0
42.943	0
42.948	0
42.953	2421
42.958	0
42.963	2421
42.968	0
42.973	2421
42.978	0
42.983	2727
42.988	0
42.993	0
42.998	0
43.003	2421
43.008	0
43.013	2421
43.018	0
43.023	0
43.028	2421
43.033	0
43.038	0
43.043	2727
43.048	0
43.053	0
43.058	0
43.063	0
43.068	0
43.073	0
43.078	0
43.083	0
43.088	0
43.093	2727
43.098	0
